place_id,place_name,url,postal_code,address,lat,lon,place_category,last_update_dt
pid_1,Adam Road Food Centre,,289876,"2, Adam Road, S(289876)",1.324159853,103.8141659,,2021-04-13 23:11:41.325570
pid_2,Amoy Street Food Centre,,069111,"National Development Building, Annex B, Telok Ayer Street, S(069111)",1.279339864,103.8466525,,2021-04-13 23:11:41.366309
pid_3,Bedok Food Centre,,469572,"1, Bedok Road, S(469572)",1.320354084,103.9554719,,2021-04-13 23:11:41.407535
pid_4,Beo Crescent Market,,169982,"38A, Beo Crescent, S(169982)",1.288840079,103.82740079999999,,2021-04-13 23:11:41.445680
pid_5,Berseh Food Centre,,208877,"166, Jalan Besar, S(208877)",1.307336537,103.856854,,2021-04-13 23:11:41.481788
pid_6,Bukit Timah Market,,588215,"51, Upper Bukit Timah Road, S(588215)",1.339609749,103.7760889,,2021-04-13 23:11:41.519717
pid_7,Chomp Chomp Food Centre,,557269,"20, Kensington Park Road, S(557269)",1.364223804,103.8665695,,2021-04-13 23:11:41.549502
pid_8,Commonwealth Crescent Market,,149644,"31, Commonwealth Crescent, S(149644)",1.306995341,103.80035649999999,,2021-04-13 23:11:41.590045
pid_9,Dunman Food Centre,,424768,"271, Onan Road, S(424768)",1.309403498,103.9018502,,2021-04-13 23:11:41.627441
pid_10,East Coast Lagoon Food Village,,468960,"1220, East Coast Parkway, S(468960)",1.306905736,103.9351379,,2021-04-13 23:11:41.662566
pid_11,Geylang Serai Market,,402001,"Geylang Serai, S(402001)",1.3167363490000001,103.89822790000001,,2021-04-13 23:11:41.702525
pid_12,Golden Mile Food Centre,,199583,"505, Beach Road, S(199583)",1.303141515,103.8638774,,2021-04-13 23:11:41.739167
pid_13,Holland Village Market & Food Centre,,277700,"1, Lorong Mambong, S(277700)",1.311148964,103.79483379999999,,2021-04-13 23:11:41.775695
pid_14,Kallang Estate Market,,397972,"17, Old Airport Road, S(397972)",1.3073961729999999,103.8841302,,2021-04-13 23:11:41.809851
